# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
3.075000000000000000e+01,1.081622422993731925e+04,6.354494906657716911e+02,2.743602037525243986e+01,7.272259907594949254e+03,1.401298361938094388e+02,2.118833013105099194e+00,3.813259009056284565e-01
3.100000000000000000e+01,1.097595036772575077e+04,6.423894899202745137e+02,2.775999701801129049e+01,7.281765275949054740e+03,1.394737154824299523e+02,2.146986203487482925e+00,3.737834849391445391e-01
3.125000000000000000e+01,1.113742188433563933e+04,6.494144533381065685e+02,2.809985367132801670e+01,7.291185718675324097e+03,1.388175947710504943e+02,2.175614515963932405e+00,3.662752790858000984e-01
3.150000000000000000e+01,1.130066112534852982e+04,6.565335381117530460e+02,2.847633909458608414e+01,7.300519175685616574e+03,1.381614740596710362e+02,2.200756597363922928e+00,3.577106650118238029e-01
3.175000000000000000e+01,1.146569203361923792e+04,6.637486584491016401e+02,2.886048134939437659e+01,7.309560271686475971e+03,1.375053533482915498e+02,2.224881980934095171e+00,3.486595346045144872e-01
3.200000000000000000e+01,1.163253889797926604e+04,6.710617205117233652e+02,2.925224825048677602e+01,7.318638124698955835e+03,1.368492326369120633e+02,2.249332812912926194e+00,3.397418443558597456e-01
3.225000000000000000e+01,1.180122641034759181e+04,6.784743430749233539e+02,2.965049025280012174e+01,7.327582143583352263e+03,1.361931119255326053e+02,2.274115552962087783e+00,3.309578712874119422e-01
3.250000000000000000e+01,1.197177965967657474e+04,6.859879940031175920e+02,3.005460371277692744e+01,7.336392050500233381e+03,1.355369912141531472e+02,2.299235686839424808e+00,3.223078519476566539e-01
3.275000000000000000e+01,1.214422397197832106e+04,6.936030794731073001e+02,3.046034187995882192e+01,7.345067608202727570e+03,1.348808705027736607e+02,2.324698188891106465e+00,3.137919826109336063e-01
3.300000000000000000e+01,1.231858486931889638e+04,7.013210343163319749e+02,3.087181937289872735e+01,7.353608619837012156e+03,1.342247497913941743e+02,2.350504435582146279e+00,3.054104267773796177e-01
3.325000000000000000e+01,1.249488823405607036e+04,7.091433303757592057e+02,3.128918423770904766e+01,7.362014921420231985e+03,1.335686290800147162e+02,2.376659289315499191e+00,2.971633158532247521e-01
3.350000000000000000e+01,1.267316033262305973e+04,7.170712760263783139e+02,3.171178260247644332e+01,7.370286381158192853e+03,1.329125083686352582e+02,2.403167737919976954e+00,2.890507402310583118e-01
3.375000000000000000e+01,1.285342770576921794e+04,7.251058477031112943e+02,3.213828670693202838e+01,7.378422908391429701e+03,1.322563876572557717e+02,2.430034215258846775e+00,2.810727478462410889e-01
3.400000000000000000e+01,1.303571717961949798e+04,7.332485474777253103e+02,3.257079909845604249e+01,7.386424455043057606e+03,1.316002669458762853e+02,2.457262030306192724e+00,2.732293486327722620e-01
3.425000000000000000e+01,1.322005597925914299e+04,7.415009756125793956e+02,3.300971253941633421e+01,7.394291011149747646e+03,1.309441462344968272e+02,2.484856273331156107e+00,2.655205131365107607e-01
3.450000000000000000e+01,1.340647173683576148e+04,7.498646280302036757e+02,3.345460967049731948e+01,7.402022606252602600e+03,1.302880255231173692e+02,2.512822367354315301e+00,2.579461670843576360e-01
3.475000000000000000e+01,1.359499238261979553e+04,7.583404245382184854e+02,3.390318603205930259e+01,7.409619314844003384e+03,1.296319048117378827e+02,2.541165381806077761e+00,2.505061909269762910e-01
3.500000000000000000e+01,1.378564613495543017e+04,7.669299313287731366e+02,3.435802716221861175e+01,7.417081256826247227e+03,1.289757841003583962e+02,2.569888433760106228e+00,2.432004239025338799e-01
